"Date","Time","Open","High","Low","Close","Up","Down","xHigh","xLow","xOpen","xClose"
01/03/2014,12:25,1824.50,1825.25,1824.50,1825.00,3220,68,1825.25,1824.50,1824.52,1824.85
01/03/2014,12:30,1825.25,1825.75,1825.00,1825.50,4272,1909,1825.75,1824.69,1824.69,1825.29
01/03/2014,12:35,1825.75,1826.00,1825.25,1825.50,4521,2475,1826.00,1824.99,1824.99,1825.45
01/03/2014,12:40,1825.50,1826.50,1825.50,1826.25,5624,2927,1826.50,1825.22,1825.22,1825.94
01/03/2014,12:45,1826.25,1826.75,1826.25,1826.25,2312,2158,1826.75,1825.58,1825.58,1826.22
01/03/2014,12:50,1826.25,1826.75,1826.25,1826.50,1950,2091,1826.75,1825.90,1825.90,1826.38
01/03/2014,12:55,1826.50,1826.75,1826.25,1826.50,1613,616,1826.75,1826.14,1826.14,1826.43
01/03/2014,13:00,1826.25,1826.50,1825.25,1825.50,592,3767,1826.50,1825.25,1826.28,1825.81
01/03/2014,13:05,1825.50,1825.75,1825.25,1825.25,2399,986,1826.05,1825.25,1826.05,1825.51
01/03/2014,13:10,1825.25,1826.00,1825.25,1826.00,726,1444,1826.00,1825.25,1825.78,1825.81
01/03/2014,13:15,1826.00,1826.00,1825.50,1825.50,235,1418,1826.00,1825.50,1825.79,1825.66
01/03/2014,13:20,1825.75,1825.75,1824.75,1825.50,1830,4069,1825.75,1824.75,1825.72,1825.44
01/03/2014,13:25,1825.50,1826.00,1825.00,1826.00,1976,1779,1826.00,1825.00,1825.58,1825.72
01/03/2014,13:30,1826.00,1826.50,1825.50,1825.75,2468,1915,1826.50,1825.50,1825.65,1825.83
01/03/2014,13:35,1825.50,1825.75,1824.00,1824.25,3160,6251,1825.75,1824.00,1825.74,1824.80
01/03/2014,13:40,1824.25,1825.00,1824.25,1825.00,1074,884,1825.27,1824.25,1825.27,1824.90
01/03/2014,13:45,1824.75,1825.00,1823.50,1824.50,2506,3740,1825.09,1823.50,1825.09,1824.52
01/03/2014,13:50,1824.50,1825.00,1824.25,1825.00,1793,221,1825.00,1824.25,1824.80,1824.81
